,term,log_prob,type_string
0,"PM(""note->note"")",0.0,note->note
1,"[K,[up,note],count]",-1.3862943611198906,note->note
2,"[C,[B,up,PM(""note->note"")],count]",-2.0794415416798357,note->note
3,"[C,[K,up,note],count]",-2.0794415416798357,note->note
4,"[K,[down,note],count]",-1.3862943611198906,note->note
5,"[C,[B,down,PM(""note->note"")],count]",-2.0794415416798357,note->note
6,"[C,[K,down,note],count]",-2.0794415416798357,note->note
7,"[B,reverse,PM(""note->note"")]",-0.6931471805599453,note->note
9,"[K,[repeat,note],count]",-1.3862943611198906,note->note
10,"[C,[B,repeat,PM(""note->note"")],count]",-2.0794415416798357,note->note
11,"[C,[K,repeat,note],count]",-2.0794415416798357,note->note
12,"[B,[concatenate,note],PM(""note->note"")]",-1.3862943611198906,note->note
13,"[K,[concatenate,note],note]",-1.3862943611198906,note->note
14,"[C,[B,concatenate,PM(""note->note"")],note]",-2.0794415416798357,note->note
15,"[C,[K,concatenate,note],note]",-2.0794415416798357,note->note
16,"[S,[B,concatenate,PM(""note->note"")],PM(""note->note"")]",-2.0794415416798357,note->note
17,"[S,[K,concatenate,note],PM(""note->note"")]",-2.0794415416798357,note->note
18,"[K,[ranges,note],count]",-1.3862943611198906,note->note
19,"[C,[B,ranges,PM(""note->note"")],count]",-2.0794415416798357,note->note
20,"[C,[K,ranges,note],count]",-2.0794415416798357,note->note
21,"PM(""note_count->note"")",0.0,note_count->note
22,"[KK,[up,note],count]",-2.772588722239781,note_count->note
23,"[KC,[K,up,note],count]",-3.4657359027997265,note_count->note
24,"[CK,[B,up,PM(""note->note"")],count]",-3.4657359027997265,note_count->note
25,"[CK,[K,up,note],count]",-3.4657359027997265,note_count->note
26,"[CC,[BB,up,PM(""note_count->note"")],count]",-4.1588830833596715,note_count->note
27,"[CC,[BK,up,PM(""note->note"")],count]",-4.1588830833596715,note_count->note
28,"[CC,[KK,up,note],count]",-4.1588830833596715,note_count->note
29,"[KK,[down,note],count]",-2.772588722239781,note_count->note
30,"[KC,[K,down,note],count]",-3.4657359027997265,note_count->note
31,"[CK,[B,down,PM(""note->note"")],count]",-3.4657359027997265,note_count->note
32,"[CK,[K,down,note],count]",-3.4657359027997265,note_count->note
33,"[CC,[BB,down,PM(""note_count->note"")],count]",-4.1588830833596715,note_count->note
34,"[CC,[BK,down,PM(""note->note"")],count]",-4.1588830833596715,note_count->note
35,"[CC,[KK,down,note],count]",-4.1588830833596715,note_count->note
36,"[BB,reverse,PM(""note_count->note"")]",-1.3862943611198906,note_count->note
37,"[BK,reverse,PM(""note->note"")]",-1.3862943611198906,note_count->note
39,"[KK,[repeat,note],count]",-2.772588722239781,note_count->note
40,"[KC,[K,repeat,note],count]",-3.4657359027997265,note_count->note
41,"[CK,[B,repeat,PM(""note->note"")],count]",-3.4657359027997265,note_count->note
42,"[CK,[K,repeat,note],count]",-3.4657359027997265,note_count->note
43,"[CC,[BB,repeat,PM(""note_count->note"")],count]",-4.1588830833596715,note_count->note
44,"[CC,[BK,repeat,PM(""note->note"")],count]",-4.1588830833596715,note_count->note
45,"[CC,[KK,repeat,note],count]",-4.1588830833596715,note_count->note
46,"[BB,[concatenate,note],PM(""note_count->note"")]",-2.772588722239781,note_count->note
47,"[BK,[concatenate,note],PM(""note->note"")]",-2.772588722239781,note_count->note
48,"[BC,[K,concatenate,note],PM(""note->note"")]",-3.4657359027997265,note_count->note
49,"[BS,[K,concatenate,note],PM(""note_count->note"")]",-3.4657359027997265,note_count->note
50,"[KK,[concatenate,note],note]",-2.772588722239781,note_count->note
51,"[KC,[K,concatenate,note],note]",-3.4657359027997265,note_count->note
52,"[CK,[B,concatenate,PM(""note->note"")],note]",-3.4657359027997265,note_count->note
53,"[CK,[K,concatenate,note],note]",-3.4657359027997265,note_count->note
54,"[CC,[BB,concatenate,PM(""note_count->note"")],note]",-4.1588830833596715,note_count->note
55,"[CC,[BK,concatenate,PM(""note->note"")],note]",-4.1588830833596715,note_count->note
56,"[CC,[KK,concatenate,note],note]",-4.1588830833596715,note_count->note
57,"[SB,[B,concatenate,PM(""note->note"")],PM(""note_count->note"")]",-3.4657359027997265,note_count->note
58,"[SB,[K,concatenate,note],PM(""note_count->note"")]",-3.4657359027997265,note_count->note
59,"[SK,[B,concatenate,PM(""note->note"")],PM(""note->note"")]",-3.4657359027997265,note_count->note
60,"[SK,[K,concatenate,note],PM(""note->note"")]",-3.4657359027997265,note_count->note
61,"[SC,[BB,concatenate,PM(""note_count->note"")],PM(""note->note"")]",-4.1588830833596715,note_count->note
62,"[SC,[BK,concatenate,PM(""note->note"")],PM(""note->note"")]",-4.1588830833596715,note_count->note
63,"[SC,[KK,concatenate,note],PM(""note->note"")]",-4.1588830833596715,note_count->note
64,"[SS,[BB,concatenate,PM(""note_count->note"")],PM(""note_count->note"")]",-4.1588830833596715,note_count->note
65,"[SS,[BK,concatenate,PM(""note->note"")],PM(""note_count->note"")]",-4.1588830833596715,note_count->note
66,"[SS,[KK,concatenate,note],PM(""note_count->note"")]",-4.1588830833596715,note_count->note
67,"[KK,[ranges,note],count]",-2.772588722239781,note_count->note
68,"[KC,[K,ranges,note],count]",-3.4657359027997265,note_count->note
69,"[CK,[B,ranges,PM(""note->note"")],count]",-3.4657359027997265,note_count->note
70,"[CK,[K,ranges,note],count]",-3.4657359027997265,note_count->note
71,"[CC,[BB,ranges,PM(""note_count->note"")],count]",-4.1588830833596715,note_count->note
72,"[CC,[BK,ranges,PM(""note->note"")],count]",-4.1588830833596715,note_count->note
73,"[CC,[KK,ranges,note],count]",-4.1588830833596715,note_count->note
74,"PM(""note_note->note"")",0.0,note_note->note
75,"[KK,[up,note],count]",-2.772588722239781,note_note->note
76,"[KC,[B,up,PM(""note->note"")],count]",-3.4657359027997265,note_note->note
77,"[KC,[K,up,note],count]",-3.4657359027997265,note_note->note
78,"[CK,[B,up,PM(""note->note"")],count]",-3.4657359027997265,note_note->note
79,"[CK,[K,up,note],count]",-3.4657359027997265,note_note->note
80,"[CC,[BB,up,PM(""note_note->note"")],count]",-4.1588830833596715,note_note->note
81,"[CC,[BK,up,PM(""note->note"")],count]",-4.1588830833596715,note_note->note
82,"[CC,[KB,up,PM(""note->note"")],count]",-4.1588830833596715,note_note->note
83,"[CC,[KK,up,note],count]",-4.1588830833596715,note_note->note
84,"[KK,[down,note],count]",-2.772588722239781,note_note->note
85,"[KC,[B,down,PM(""note->note"")],count]",-3.4657359027997265,note_note->note
86,"[KC,[K,down,note],count]",-3.4657359027997265,note_note->note
87,"[CK,[B,down,PM(""note->note"")],count]",-3.4657359027997265,note_note->note
88,"[CK,[K,down,note],count]",-3.4657359027997265,note_note->note
89,"[CC,[BB,down,PM(""note_note->note"")],count]",-4.1588830833596715,note_note->note
90,"[CC,[BK,down,PM(""note->note"")],count]",-4.1588830833596715,note_note->note
91,"[CC,[KB,down,PM(""note->note"")],count]",-4.1588830833596715,note_note->note
92,"[CC,[KK,down,note],count]",-4.1588830833596715,note_note->note
93,"[BB,reverse,PM(""note_note->note"")]",-1.3862943611198906,note_note->note
94,"[BK,reverse,PM(""note->note"")]",-1.3862943611198906,note_note->note
95,"[KB,reverse,PM(""note->note"")]",-1.3862943611198906,note_note->note
